Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,41300.0,43100.0,41300.0,42650.0,37468.03125,11563730
2019-05-15,42700.0,43050.0,42550.0,42550.0,37380.18359375,7670185
2019-05-16,42350.0,42400.0,41350.0,41550.0,36501.6796875,13687828
2019-05-17,41950.0,42050.0,40850.0,41200.0,36194.2109375,13357951
2019-05-20,41650.0,42100.0,41550.0,42000.0,36897.0078125,15752397
2019-05-21,42600.0,43950.0,42350.0,43150.0,37907.296875,18812133
2019-05-22,43700.0,43800.0,42400.0,43500.0,38214.7578125,11033339
2019-05-23,43900.0,44000.0,43250.0,43850.0,38522.23828125,12259006
2019-05-24,43800.0,43800.0,42400.0,42700.0,37511.953125,13966305
2019-05-27,42500.0,43000.0,42350.0,42650.0,37468.03125,8066669
2019-05-28,42550.0,42950.0,42150.0,42550.0,37380.18359375,24506881
2019-05-29,41850.0,42100.0,41300.0,41800.0,36721.30859375,14930618
2019-05-30,42200.0,42700.0,42150.0,42550.0,37380.18359375,11766018
2019-05-31,42600.0,42800.0,42150.0,42500.0,37336.265625,11365999
2019-06-03,42950.0,43900.0,42500.0,43800.0,38478.3203125,15466580
2019-06-04,43400.0,43700.0,43000.0,43450.0,38170.8359375,9913497
2019-06-05,44050.0,44200.0,43700.0,43900.0,38566.15625,12464135
2019-06-07,43600.0,44350.0,43450.0,44200.0,38829.69921875,11683682
2019-06-10,44300.0,44850.0,44050.0,44800.0,39356.8046875,8792182
2019-06-11,44800.0,45000.0,44550.0,44850.0,39400.7265625,6664872
2019-06-12,44800.0,45050.0,44300.0,44600.0,39181.10546875,8607439
2019-06-13,44200.0,44400.0,43400.0,43750.0,38434.38671875,16906541
2019-06-14,43750.0,44150.0,43300.0,44000.0,38654.00390625,9322873
2019-06-17,43750.0,44050.0,43400.0,43900.0,38566.15625,11890424
2019-06-18,43750.0,44500.0,43650.0,44350.0,38961.484375,7994928
2019-06-19,45450.0,45450.0,45000.0,45350.0,39839.984375,10417690
2019-06-20,44850.0,45500.0,44850.0,45500.0,39971.75390625,7147785
2019-06-21,45750.0,45800.0,45200.0,45700.0,40147.45703125,9454913
2019-06-24,45200.0,45800.0,45200.0,45500.0,39971.75390625,6085066
2019-06-25,45200.0,45800.0,45200.0,45600.0,40059.6015625,7076774
2019-06-26,45800.0,46000.0,45600.0,45700.0,40147.45703125,9226097
2019-06-27,46000.0,46600.0,45750.0,46500.0,41169.16015625,12603534
2019-06-28,47000.0,47000.0,46700.0,47000.0,41611.83984375,12949231
2019-07-01,47350.0,47400.0,46250.0,46600.0,41257.69921875,11383522
2019-07-02,46200.0,46900.0,45850.0,46250.0,40947.828125,8463073
2019-07-03,45750.0,46350.0,45200.0,45400.0,40195.2734375,9669368
2019-07-04,45250.0,46200.0,45250.0,46000.0,40726.484375,6365573
2019-07-05,45950.0,45950.0,45250.0,45650.0,40416.6015625,7235395
2019-07-08,44750.0,44800.0,44350.0,44400.0,39309.90234375,7823843
2019-07-09,44850.0,45450.0,44700.0,45100.0,39929.66015625,7646421
2019-07-10,45550.0,46150.0,45500.0,45550.0,40328.06640625,9253930
2019-07-11,46350.0,46550.0,46150.0,46200.0,40903.5546875,10989751
2019-07-12,46350.0,46400.0,45800.0,46300.0,40992.09765625,5245804
2019-07-15,45950.0,46650.0,45750.0,46450.0,41124.890625,4717226
2019-07-16,46450.0,46850.0,46300.0,46850.0,41479.04296875,7407824
2019-07-17,46150.0,46350.0,45950.0,46050.0,40770.75,5216602
2019-07-18,46450.0,46450.0,45650.0,46100.0,40815.01953125,5143554
2019-07-19,46650.0,46950.0,46600.0,46800.0,41434.76953125,8819393
2019-07-22,46800.0,47300.0,46600.0,47200.0,41788.90625,9009109
2019-07-23,47350.0,47550.0,47050.0,47300.0,41877.453125,9061381
2019-07-24,47100.0,47150.0,46250.0,46400.0,41080.625,8756522
2019-07-25,47150.0,47200.0,46600.0,47200.0,41788.90625,8408838
2019-07-26,46650.0,47150.0,46550.0,47150.0,41744.64453125,7873886
2019-07-29,46800.0,47050.0,46000.0,46100.0,40815.01953125,6856846
2019-07-30,46300.0,46850.0,46300.0,46550.0,41213.43359375,5551014
2019-07-31,46200.0,46600.0,45000.0,45350.0,40151.0,12872916
2019-08-01,44900.0,45500.0,44850.0,45200.0,40018.1953125,7811181
2019-08-02,44550.0,45500.0,44300.0,44950.0,39796.859375,12151374
2019-08-05,44350.0,44600.0,43600.0,43950.0,38911.5,14214086
2019-08-06,42500.0,43800.0,42500.0,43500.0,38513.08203125,15083824
2019-08-07,43600.0,43900.0,43100.0,43200.0,38247.484375,10002533
2019-08-08,43250.0,43500.0,42650.0,42650.0,37760.52734375,16926881
2019-08-09,43250.0,43350.0,43050.0,43150.0,38203.2265625,9685147
2019-08-12,44000.0,44000.0,43550.0,43700.0,38690.1640625,8466169
2019-08-13,43500.0,43500.0,42950.0,43000.0,38070.41015625,7276979
2019-08-14,43900.0,44250.0,43500.0,43700.0,38690.1640625,8750135
2019-08-16,43800.0,43900.0,43300.0,43900.0,38867.2265625,9528115
2019-08-19,44350.0,44350.0,43500.0,43600.0,38601.625,6014218
2019-08-20,43950.0,44600.0,43550.0,44450.0,39354.17578125,8434205
2019-08-21,44350.0,44800.0,44150.0,44500.0,39398.44140625,6571717
2019-08-22,44500.0,44700.0,43850.0,44050.0,39000.03515625,8061177
2019-08-23,43800.0,44200.0,43650.0,43950.0,38911.5,5017381
2019-08-26,43050.0,43800.0,42950.0,43600.0,38601.625,7954949
2019-08-27,43650.0,44200.0,43600.0,44050.0,39000.03515625,16883932
2019-08-28,44100.0,44400.0,43750.0,44150.0,39088.5625,5758333
2019-08-29,44200.0,44200.0,43050.0,43400.0,38424.5546875,10768862
2019-08-30,43750.0,44300.0,43750.0,44000.0,38955.765625,9899073
2019-09-02,44850.0,44850.0,43650.0,43800.0,38778.703125,7185537
2019-09-03,43550.0,43650.0,43100.0,43250.0,38291.74609375,9774941
2019-09-04,43250.0,44100.0,43150.0,44100.0,39044.30078125,12441837
2019-09-05,44800.0,46100.0,44450.0,45700.0,40460.875,18297430
2019-09-06,46500.0,46500.0,45850.0,46300.0,40992.09765625,9896562
2019-09-09,46450.0,47000.0,46300.0,46900.0,41523.3125,9434157
2019-09-10,47100.0,47200.0,46550.0,47000.0,41611.83984375,9231792
2019-09-11,47300.0,47400.0,46800.0,47150.0,41744.64453125,16141619
2019-09-16,47000.0,47100.0,46400.0,47100.0,41700.37890625,15550926
2019-09-17,47000.0,47100.0,46800.0,46900.0,41523.3125,7006280
2019-09-18,46900.0,47700.0,46800.0,47700.0,42231.58984375,10413027
2019-09-19,48050.0,49200.0,47850.0,49150.0,43515.359375,16461413
2019-09-20,49400.0,49600.0,49100.0,49200.0,43559.62890625,15460210
2019-09-23,49250.0,49300.0,49000.0,49300.0,43648.1640625,7568553
2019-09-24,49050.0,49650.0,48850.0,49500.0,43825.23828125,7871955
2019-09-25,49200.0,49350.0,48800.0,48900.0,43294.0234375,9187141
2019-09-26,49000.0,49250.0,48900.0,49200.0,43559.62890625,8494756
2019-09-27,48000.0,48700.0,48000.0,48400.0,43161.89453125,8048041
2019-09-30,48050.0,49250.0,47900.0,49050.0,43741.55859375,9497119
2019-10-01,48900.0,49100.0,48650.0,48850.0,43563.1953125,6206035
2019-10-02,48350.0,48400.0,47600.0,47600.0,42448.484375,8382463
2019-10-04,47400.0,48650.0,47350.0,48000.0,42805.1875,9331695
2019-10-07,48350.0,48700.0,47650.0,47750.0,42582.24609375,7047273
2019-10-08,47900.0,49000.0,47600.0,48900.0,43607.7890625,14239367
2019-10-10,48200.0,49200.0,48000.0,48550.0,43295.6640625,18639855
2019-10-11,49000.0,49450.0,48800.0,49150.0,43830.73046875,7783275
2019-10-14,50000.0,50300.0,49850.0,50000.0,44588.73828125,11130635
2019-10-15,49900.0,50200.0,49900.0,50100.0,44677.9140625,6058105
2019-10-16,50700.0,50900.0,50400.0,50700.0,45212.9765625,9136282
2019-10-17,50500.0,50600.0,50100.0,50500.0,45034.625,6701380
2019-10-18,50300.0,50900.0,49650.0,49900.0,44499.5625,8483106
2019-10-21,49900.0,50400.0,49800.0,50300.0,44856.26171875,4406531
2019-10-22,50800.0,51500.0,50700.0,51200.0,45658.875,10898729
2019-10-23,51300.0,51500.0,50800.0,51200.0,45658.875,8663880
2019-10-24,52500.0,52500.0,50500.0,50700.0,45212.9765625,21185785
2019-10-25,50800.0,51200.0,50500.0,50900.0,45391.33203125,7879897
2019-10-28,50700.0,51500.0,50700.0,51300.0,45748.04296875,6431522
2019-10-29,51400.0,51700.0,50800.0,51100.0,45569.6953125,7581629
2019-10-30,50700.0,50800.0,50200.0,50400.0,44945.453125,8959435
2019-10-31,51000.0,51400.0,50300.0,50400.0,44945.453125,10304777
2019-11-01,50600.0,51200.0,50400.0,51200.0,45658.875,8467846
2019-11-04,51700.0,52300.0,51400.0,52300.0,46639.8203125,13012411
2019-11-05,52400.0,52700.0,52100.0,52700.0,46996.5234375,10581034
2019-11-06,52900.0,53500.0,52700.0,53300.0,47531.58984375,14361133
2019-11-07,53400.0,53400.0,52400.0,52900.0,47174.88671875,9257116
2019-11-08,53200.0,53300.0,52000.0,52100.0,46461.46875,11603290
2019-11-11,52200.0,52200.0,51400.0,51600.0,46015.57421875,8185952
2019-11-12,51800.0,52600.0,51600.0,52600.0,46907.359375,6576148
2019-11-13,52500.0,52500.0,52000.0,52500.0,46818.1796875,6225196
2019-11-14,51900.0,52800.0,51900.0,52800.0,47085.703125,12010018
2019-11-15,52900.0,53700.0,52600.0,53700.0,47888.3125,9703360
2019-11-18,53600.0,53800.0,53200.0,53500.0,47709.94140625,7746554
2019-11-19,53200.0,53500.0,52700.0,53500.0,47709.94140625,8907177
2019-11-20,53400.0,53400.0,52000.0,52000.0,46372.28125,12560070
2019-11-21,51600.0,52100.0,50600.0,51000.0,45480.5078125,14298646
2019-11-22,51000.0,51600.0,50900.0,51600.0,46015.57421875,8478310
2019-11-25,52200.0,52600.0,51700.0,51800.0,46193.9296875,9050625
2019-11-26,51900.0,52900.0,51800.0,51800.0,46193.9296875,27372226
2019-11-27,51800.0,52300.0,51600.0,52200.0,46550.640625,7546261
2019-11-28,51900.0,52100.0,51300.0,51300.0,45748.04296875,6833885
2019-11-29,51200.0,51400.0,50200.0,50300.0,44856.26171875,11179334
2019-12-02,50900.0,51300.0,50400.0,50400.0,44945.453125,18877252
2019-12-03,49800.0,50300.0,49500.0,49900.0,44499.5625,12059812
2019-12-04,49600.0,49850.0,49000.0,49450.0,44098.26171875,13246549
2019-12-05,50200.0,50400.0,49500.0,49500.0,44142.84375,10449715
2019-12-06,50100.0,50900.0,49950.0,50400.0,44945.453125,11414563
2019-12-09,50900.0,51400.0,50700.0,51200.0,45658.875,8470627
2019-12-10,51000.0,51600.0,50700.0,51500.0,45926.3984375,6882771
2019-12-11,51500.0,52200.0,51400.0,51900.0,46283.11328125,11379521
2019-12-12,53000.0,53300.0,52700.0,53300.0,47531.58984375,29178697
2019-12-13,54500.0,54800.0,53900.0,54700.0,48780.0703125,18120261
2019-12-16,54500.0,54900.0,54300.0,54700.0,48780.0703125,11512405
2019-12-17,55800.0,56700.0,55400.0,56700.0,50563.6328125,19358433
2019-12-18,56700.0,57200.0,56000.0,56300.0,50206.921875,15558208
2019-12-19,57000.0,57300.0,55500.0,56000.0,49939.37890625,14180520
2019-12-20,56100.0,56500.0,55600.0,56000.0,49939.37890625,12095519
2019-12-23,56100.0,56400.0,55100.0,55500.0,49493.50390625,9839252
2019-12-24,55600.0,55700.0,54800.0,55000.0,49047.61328125,11868463
2019-12-26,54700.0,55400.0,54400.0,55400.0,49404.31640625,9645034
2019-12-27,55700.0,56900.0,55500.0,56500.0,50709.30078125,12313056
2019-12-30,56200.0,56600.0,55700.0,55800.0,50081.04296875,8356767
2020-01-02,55500.0,56000.0,55000.0,55200.0,49542.5390625,12993228
2020-01-03,56000.0,56600.0,54900.0,55500.0,49811.796875,15422255
2020-01-06,54900.0,55600.0,54600.0,55500.0,49811.796875,10278951
2020-01-07,55700.0,56400.0,55600.0,55800.0,50081.04296875,10009778
2020-01-08,56200.0,57400.0,55900.0,56800.0,50978.55859375,23501171
2020-01-09,58400.0,58600.0,57400.0,58600.0,52594.0625,24102579
2020-01-10,58800.0,59700.0,58300.0,59500.0,53401.828125,16000170
2020-01-13,59600.0,60000.0,59100.0,60000.0,53850.58203125,11359139
2020-01-14,60400.0,61000.0,59900.0,60000.0,53850.58203125,16906295
2020-01-15,59500.0,59600.0,58900.0,59000.0,52953.06640625,14300928
2020-01-16,59100.0,60700.0,59000.0,60700.0,54478.83984375,14381774
2020-01-17,61900.0,62000.0,61000.0,61300.0,55017.34375,16025661
2020-01-20,62000.0,62800.0,61700.0,62400.0,56004.61328125,12528855
2020-01-21,62000.0,62400.0,61200.0,61400.0,55107.09765625,11142693
2020-01-22,60500.0,62600.0,60400.0,62300.0,55914.85546875,15339565
2020-01-23,61800.0,61800.0,60700.0,60800.0,54568.58984375,14916555
2020-01-28,59400.0,59400.0,58300.0,58800.0,52773.578125,23664541
2020-01-29,59100.0,59700.0,58800.0,59100.0,53042.828125,16446102
2020-01-30,58800.0,58800.0,56800.0,57200.0,51337.5546875,20821939
2020-01-31,57800.0,58400.0,56400.0,56400.0,50619.546875,19749457
2020-02-03,55500.0,57400.0,55200.0,57200.0,51337.5546875,23995260
2020-02-04,57100.0,59000.0,56800.0,58900.0,52863.328125,21800192
2020-02-05,60000.0,60200.0,58900.0,59500.0,53401.828125,19278165
2020-02-06,60100.0,61100.0,59700.0,61100.0,54837.84375,14727159
2020-02-07,61100.0,61200.0,59700.0,60400.0,54209.58984375,16402493
2020-02-10,59200.0,59800.0,59100.0,59700.0,53581.32421875,13107121
2020-02-11,59800.0,60700.0,59700.0,59900.0,53760.83203125,11071231
2020-02-12,60300.0,60700.0,59700.0,60500.0,54299.34765625,12904207
2020-02-13,61200.0,61600.0,60500.0,60700.0,54478.83984375,18449775
2020-02-14,60900.0,61900.0,60200.0,61800.0,55466.1015625,13276067
2020-02-17,61600.0,62000.0,61200.0,61500.0,55196.84375,8740596
2020-02-18,60800.0,60900.0,59700.0,59800.0,53671.09375,16674266
2020-02-19,59800.0,60400.0,59400.0,60200.0,54030.0859375,12951496
2020-02-20,60700.0,61300.0,59600.0,60000.0,53850.58203125,14591924
2020-02-21,58800.0,59800.0,58500.0,59200.0,53132.5859375,13777393
2020-02-24,57400.0,58100.0,56800.0,56800.0,50978.55859375,25627537
2020-02-25,56200.0,58000.0,56200.0,57900.0,51965.81640625,23885408
2020-02-26,56000.0,57000.0,56000.0,56500.0,50709.30078125,25483102
2020-02-27,56300.0,56900.0,55500.0,55900.0,50170.79296875,23209541
2020-02-28,55000.0,55500.0,54200.0,54200.0,48645.03125,30054227
2020-03-02,54300.0,55500.0,53600.0,55000.0,49363.0390625,30403412
2020-03-03,56700.0,56900.0,55100.0,55400.0,49722.03515625,30330295
2020-03-04,54800.0,57600.0,54600.0,57400.0,51517.0546875,24765728
2020-03-05,57600.0,58000.0,56700.0,57800.0,51876.06640625,21698990
2020-03-06,56500.0,57200.0,56200.0,56500.0,50709.30078125,18716656
2020-03-09,56500.0,56500.0,56500.0,56500.0,50709.30078125,0
2020-03-10,53800.0,54900.0,53700.0,54600.0,49004.03125,32106554
2020-03-11,54300.0,54400.0,52000.0,52100.0,46760.26171875,45707281
2020-03-12,52100.0,52100.0,52100.0,52100.0,46760.26171875,0
2020-03-13,47450.0,51600.0,46850.0,49950.0,44830.609375,59462933
2020-03-16,50100.0,50900.0,48800.0,48900.0,43888.23046875,33339821
2020-03-17,46900.0,49650.0,46700.0,47300.0,42452.21484375,51218151
2020-03-18,47750.0,48350.0,45600.0,45600.0,40926.453125,40152623
2020-03-19,46400.0,46650.0,42300.0,42950.0,38548.0390625,56925513
2020-03-20,44150.0,45500.0,43550.0,45400.0,40746.94140625,49730008
2020-03-23,42600.0,43550.0,42400.0,42500.0,38144.1640625,41701626
2020-03-24,43850.0,46950.0,43050.0,46950.0,42138.078125,49801908
